,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,Power Supply,Seat Storage,Recommended,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Viewing Tv Screen,reviews
94,Premium Economy,Boeing 777-200,2x4x2,November 2015,Business,,,,,,,3.0,no,3.0,1.0,1.0,3.0,1.0,The old British Airways Premium Economy seats. Front row and very uncomfortable. Double the price of Y class and yet terrible and old seats. IFE was the size of my palm. Cold service and food was Y class trash. Cabin staff didn't care and you had to use the bathroom in Y. My first time flying British Airways and I hated it for long haul.  Its 2015 and NO electrical outlets!!!
95,Premium Economy,A380,2x3x2,October 2015,Solo Leisure,,,,,,,3.0,yes,4.0,4.0,4.0,4.0,4.0,Sat upstairs in Premium Economy - 66F (I think). Not a window seat. Seat width is ok and has enough legroom even when person in front fully-reclined their seat. There is no IFE control box under the seat in-front (there is under 66E). Managed to get about 4hrs sleep on my long-haul flight which is pretty good. The IFE screen is reasonably big and there are 2-USB ports you can use. Quite happy to sit in that seat again.
96,Economy Class,A320,3x3,October 2015,Business,,,,,,,2.0,no,2.0,2.0,2.0,2.0,,"British Airways have taken a step closer to being a Ryanair clone. Now they charge you (even their loyalty card holders!) if you are travelling without a checked in bag & want to change the terrible seat they have assigned you. And British Airways are doing it in a very sly way, in my opinion. I have flown 3 times with them during the last month. Each time with a colleague. And on every occasion the seats have been assigned to us at the very rear of the plane, and every time without a window seat. They've done this despite plenty of free seats being available in the mid & front of the plane. There is only 1 reason - they do it specifically to force you to pay for a seat change. Have a look at the seat map from todays flight that I have attached. Despite there being numerous free seats around, they've put us at the back of the plane and on both sides of an aisle so we cant even talk together comfortably. And I was checking in only a few minutes after the online check in opened - so there was no lack of available seats. There are some other airlines also charge for seat selection, but normally they are low cost carriers. British Airways charges premium fees for its seats and is a national carrier. This is pure greed. If you don't take a checked in bag, you are saving BA money. So why should they punish you in return? They save time/money on loading the plane - on staff at the check in desk - on downtime at the gate - on risk due to terror hype - on paying to replace lost baggage and  belongings and on fuel due to less weight etc. They should reduce the ticket price, not increase it! I urge you to give BA a miss until they change this policy. There are plenty of other airlines who value their frequent flyers."
97,Economy Class,A380,3x4x3,September 2015,Solo Leisure,,,,,,4.0,4.0,yes,5.0,5.0,4.0,5.0,5.0,"Very comfortable seat on one of British Airways newest A380. Legroom was not the best but adequate for the 11 hour flight to SFO from LHR with 31 inch seat pitch and the slimmed design. Recline was very good, I was able to nap comfortably for 4 hours as it was only a day flight. Could do with more power supply as the seat only had X1 USB port to charge my phone and iPad interchangeably. I would fly long haul with BA again."
98,Economy Class,Boeing 747-400,3x4x3,September 2015,Solo Leisure,,,,,,1.0,2.0,yes,3.0,4.0,3.0,4.0,3.0,"British Airways old and outdated product on their Boeing 747-400 with the outdated and unreliable IFE. Seat pitch of 31 inches. Moveable headrest with supporting head wings. Seat itself is comfortable with good back support but it gets very uncomfortable when the person I front of you reclines their seat reducing your legroom. Seat width was bearable. Although I would fly with BA again, I would avoid their B747-400 on long haul flights."
99,Economy Class,A319,3x3,October 2015,Family Leisure,,,,,,,4.0,yes,2.0,1.0,3.0,2.0,,"Small cramped seat (9F) though the seats look new. Magazines were half torn but up to date. Cleanliness was good and position within the aircraft was towards the front. Shame we choose the seats in front of the exit row as we had no recline whatsoever. It is very hard to access the aisle though luckily I didn't need to go to the toilet. Even though it is not the best aircraft seat, BA is my preferred choice if flying within Europe."
100,Economy Class,Boeing 777-200,3×3×3,October 2015,Family Leisure,,,,,,,4.0,no,2.0,1.0,2.0,3.0,3.0,"Just returned on roundtrip British Airways flights from Amsterdam to London and onto San Diego. The flight from Amsterdam to London wasn't bad, normal seats and even got drink. The over 11 hour flight to and from San Diego brought me to tears. The man in front of me put his seat all the way back while we were taxing on to the runway. Let me tell you his seat was literally just a few inches from my face, watching a movie on my small screen was difficult because of the close proximity of my screen. The seats were uncomfortable and you can feel every move of the person in front and back of you! Would I take this flight again - never! Do I recommend this route - no way!"
101,Economy Class,Boeing 787,3x3x3,October 2015,Solo Leisure,,,,,,,1.0,yes,1.0,1.0,2.0,2.0,3.0,"The front Boeing 787 Economy Cabin on British Airways is claustrophobic caused by the divider to separate Business Cabin/Economy Cabin. The IFE Box occupy almost half of your feet space under the seat in front of you, so hard to stretch your legs to sleep or rest. The pitch between seat is horrible. This Boeing 787 is a quite a comfort nightmare."
102,Economy Class,Boeing 747-400,3x4x3,April 2015,Family Leisure,,,,,,,4.0,no,3.0,2.0,4.0,2.0,4.0,"British Airways seats are probably the worst seats I've experienced on a plane, even budget airline ones are better. The legroom's fine, so it's pointless upgrading to premium economy, as you get the same seat with a bit more legroom. Reclining the seat takes about an hour, and width is fine for me, as I'm really skinny.  View of the screen is fine, no power supply, storage great, and the seats are so uncomfortable."
103,Premium Economy,Boeing 777-200,2x4x2,September 2015,Couple Leisure,,,,,,5.0,5.0,yes,5.0,5.0,4.0,5.0,5.0,"Prebooked seats 25J/25K in Premium Economy as a couple flying to Dubai, upgraded cabin very good seats as last in row of WTP. I agree that seat 25J does have the IFE box slightly in the way, ie if you street your legs out in full it is in the way, fantasic amount of leg room, seat fully reclined has nobody behind you,. Toilet not bothersome, cabin curtain was closed and light issue no problem. Food with two choices from menu and was very nice food, couple of drinks run and attendant service if you require anything else during flight. Staff very good and always helpful, flight took off and landed on time, overall great service."
104,Economy Class,Boeing 787,3x3x3,September 2015,Couple Leisure,,,,,,3.0,1.0,no,1.0,1.0,1.0,1.0,3.0,"My partner and I traveled British Airways return from Toronto to London, and specifically chose British Airways because we had heard great things about them. We booked a standard World Traveler seat, and wow, were we disappointed! We had heard that the economy seats were great, so didn't bother to upgrade, although we did try closer to the flight date and nothing was available. We had a 7.5 hour flight over night, and we were so uncomfortable that neither of us were able to catch any sleep. Our first flight was in the middle row, and I was basically rubbing elbows with my neighbour the entire flight. My knees were so sore for a few days after as I was unable to stretch at all. On the way back, we decided to try the seat selection, and thought we had selected the emergency exit row, but we were mistaken as that is not an option to choose. We basically paid $71 extra per seat to be just as uncomfortable. I was very disappointed overall with this experience. If we had known, we would have just gone with a budget airline and saved a couple of bucks."
105,Economy Class,A320,3x3,August 2015,Solo Leisure,,,,,,,3.0,yes,4.0,3.0,3.0,3.0,,"Comfortable British Airways return flight Heathrow to Oslo. Have no complaints about service, aircraft, seats. Only a two hour trip each way so was served a sandwich and choice of drinks which was fine, aircraft on return leg had the newer style seating but to be honest both were fine, had plenty of legroom (I'm 5'10""). Would happily fly BA again. "
106,Premium Economy,A320,2x2,August 2015,Family Leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,,"My review of the new British Airways Club Europe business class seats, and appalled by the refit of British Airways planes. They appear to have concentrated on getting as much money as possible for nothing! My partner is 6ft 4in with long legs and does not fit in an economy seat therefore we paid the substantial amount of money over and above the cost of economy tickets to fly Club Europe. I had only flown Club Europe once before a few years ago but then we had 2 large leather seats with extra legroom and a large armrest between them and the service we received felt very special. This time the 'refit' means the seats are normal economy class 3x3 but the middle seat has a tray top clipped over it! Not only were the seats a major disappointment but we too suffered the same issue as a previous reviewer where we felt forced to pay the extra to 'reserve' seats so that we were assured to sit together, we were not offered a choice in food, we only had one drinks service, our row of seats was the only row in the entire cabin didn't have personal air conditioning and were left feeling absolutely ripped off! I will be pushing for a refund and we will never fly BA again after this experience."
107,Premium Economy,Boeing 747-400,2x4x2,August 2015,Business,,,,,,,1.0,no,2.0,2.0,2.0,2.0,1.0,"You should know what you are walking into when you approach the British Airways Boeing 747-400 fleet as without exception they are tired and tatty, and should have been retired years ago. As a monthly British Airways customer on the LHR/PHX route I now dread either flight as the Premium Economy cabin is uncomfortable and legroom on all but the front bulkhead seats limited in the extreme due to AVOD boxes being installed under seats, plus the seat fixings are positioned such that one leg is always unable to be extended straight. The seats themselves are uncomfortable, the adjustable headrests will always slip back down irrespective of how they are positioned and the seat adjustment buttons seldom function correctly. As for entertainment, if you can actually see the picture on the SatNav sized screens then you're a better person than me. British Airways is currently offering a premium product in cost, but is actually providing a mediocre one in reality. Cabin staff are hit and miss and for every good member there are half a dozen miserable ones just going through the motions. Not a great airline any more and it'll take many years for them to catch up."
108,Economy Class,A319,3x3,August 2015,Couple Leisure,,,,,,,1.0,no,1.0,1.0,2.0,2.0,,"One of the most uncomfortable cabins I've sat in. The miserly seat pitch was something I'd expect from a budget airline. British Airways new slim seats, upholstered in a dark grey leather, are attractive to look at, but when you're seated, the seat back in front is practically in your face. I couldn't hold a magazine in front of me to read, and had to twist to the side and hold the magazine in the aisle in order to be able to focus on the print. In future I'll avoid flying British Airways within Europe."
109,Economy Class,Boeing 747,3x4x3,August 2015,Solo Leisure,,,,,,1.0,1.0,no,3.0,3.0,3.0,3.0,1.0,"I travelled British Airways Singapore to London to Miami return. It was a bad experience and I have decided never to fly British Airways ever again.  British Airways crew does not enforce the rules that passengers must put their seats upright during meal times. I had to keep reminding the crew to inform the passenger in front to straighten his seat. And on one of the trips, the passenger sitting behind requested me not to recline my seat as it was hitting his leg!  The real test came when the IFE was disrupted for several rows of passengers about 3 hrs into the flight. It was not just the IFE but also the overhead reading lights and crew assistance function.  The crew made some checks and informed us that the problem could not be fixed. For the next 10 hrs, the affected passengers just had to endure the situation. We could not watch movies or read or do work on computers as this was a night flight and all lights were switched off after the meal service. It was distressing to see British Airways crew treat the situation nonchalantly. "
110,Premium Economy,Boeing 767,2x2x2,July 2015,Couple Leisure,,,,,,,1.0,no,3.0,2.0,3.0,1.0,,"As I wanted to ensure that both my wife and I sat together in Club Europe part of the cabin, I was constantly checking the availability of seats. So I checked on Sat, 18th and Sunday 19th and on both occasions the only seats that were available were 2+2+1+1+1, so 7 in total. Therefore I felt that I could not wait until Tues, 21st for online check in, as I wanted to ensure that I sat next to my wife. So with that in mind I pre-booked 2 seats 15a and 15b to ensure that we sat together and the extra £50. However, when I checked the seat availability again on Mon, 20th and Tues 21st, I was shocked to see that there were plenty of seats available. When I saw this I felt I had been forced and cheated by BA to pay an extra £50, this left a bitter taste in my mouth and was angry with the way I had been treated by BA. The flight was delayed for 1 hour 40mins without an explanation as to why. Ok, these things happen but an explanation as to why were were delayed would have been appreciated.  By the time the cabin crew came round with the supposed lunch, it was close to 3pm and by the time the cabin crew reached us, they could not offer us a choice of food and the only thing that was left, was Fish. Therefore we were left with 2 trays of front of us with a salad bowl, a bread roll, an empty cup and an empty glass and a napkin with various cutlery, totally useless if you have no food to eat.  Eventually crew managed to find a Chicken dish that we could eat. The Club Europe cabin was not sectioned off to the economy class passengers. So these passengers were constantly walking past us to use the toilet facilities that were meant for Club Europe passengers.  After several complaints from myself and fellow passengers did they make an announcement over the PA about the facilities. However this did not stop the constant flow of passengers"
111,Economy Class,Boeing 777-300,3x3x3,July 2015,Solo Leisure,,,,,,3.0,3.0,no,2.0,2.0,2.0,3.0,3.0,"Seat was cramped. I'm 180cm, or 5ft 9. Sat at an aisle sea; 32f. Left leg sort of lost feeling, right leg could stretch out, and that was the constant struggle I had to deal with. If the front passenger fully reclines, there goes the space which you thought you had. The seat is pretty much over the tray tables, watching a movie whilst eating was a delicate balancing act. Overall, decent but there are better airlines for long haul flights."
112,Economy Class,Boeing 787,3x3x3,June 2015,Solo Leisure,,,,,,,2.0,no,2.0,2.0,1.0,3.0,3.0,"The narrowest, hardest airline seat I have ever flown in. It was an overnight flight from Philadelphia to London. I am not a big person (163cm tall, 52kg) but I had to scrunch my shoulders together to fit in the seat. I had pins and needles for 24 hours after the flight. Other people around me who were larger than me (but not 'big' people by any stretch of the imagination) had to keep their arms folded for the whole flight in order to fit in the seat. Lots of people were complaining. I emailed a complaint to BA, which was met with ""sorry to hear, hope it hasn't deterred you from flying with us again"". A disgusting way to treat your passengers. I would rather pay more to travel with anyone than BA ever again after this experience."
113,Premium Economy,Boeing 747-400,2x4x2,May 2015,Couple Leisure,,,,,,5.0,5.0,yes,4.0,4.0,3.0,5.0,4.0,"My husband and I sat in two of the seats by the windows (which cost extra) so we had a little more room and privacy. We were in 31/B on the way to London and in 30J/K on the way back to Chicago. 31 A/B were better because there was no one behind us. The seats were fairly comfortable, but not comfortable enough for us to really sleep. The arms were really hard and could not be raised because they contained the trays. If the center one could have been raised to make more room it would have helped a lot. I could not really stretch out because of a metal box under the seat in front of me. From reviews I have read of other airlines' premium economy seats, these were good. A pillow, blanket, and eye mask were provided. I am a vegetarian and had a special meal which was all right as was my husband's meal. The flight attendants were very nice and helpful. The movies were fine too."
114,Premium Economy,A320,2 x 2,June 2015,Solo Leisure,,,,,,,2.0,no,1.0,2.0,3.0,3.0,,"British Airways ""Club Europe"" Business Class seat pitch now feels like a budget carrier, never mind the advertising puff. Very disappointed after 3 or 4 of these trips. Sad that British Airways had to pull this trick. "
115,Economy Class,Boeing 777-300,3x3x3,June 2015,Solo Leisure,,,,,,,1.0,no,3.0,2.0,2.0,1.0,2.0,"The 31 inch seat pitch is now so small it is like a long-haul budget airline at premium price. There is reasonable leg room provided you have nothing stashed away there or the IFE box does not get your way. Even with the tray table up, though, window seat passengers have no way of getting out to the washroom without having the other two passengers get up and out into the aisle. That makes you really popular in the middle of a long overnight flight! The back support is reasonable, but after a few hours the seat bottom starts to feel hard. Overall you feel totally cramped and hemmed in. I'll never fly it again."
116,Premium Economy,A320,2x2,May 2015,Business,,,,,,,2.0,yes,1.0,3.0,3.0,3.0,,"Business Class, Seat 1C in Club Europe on A320. Despite the enhancements made to the interior aesthetics of the short-haul fleet, a fare paying Club Europe passenger is bound to be left less than impressed. Since the refitting and ""upgrade"" to the new seat, the legroom is completely inadequate. It is now impossible to stretch out, work on a normal sized laptop, and in my opinion has rendered Club Europe basically a redundant product compared. "
117,Premium Economy,Boeing 747-400,2x4x2,June 2015,Couple Leisure,,,,,,5.0,5.0,yes,5.0,5.0,5.0,5.0,5.0,"Premium Economy is well worth the extra money. Comfy and spacious enough to get some sleep, at least not like the economy seating. Food and beverages choices good too."
118,Economy Class,Boeing 777,3x3x3,,,,,,,,,,yes,5.0,4.0,2.0,4.0,1.0,I flew SYD-LHR return trip having recently had surgery on my left leg. Outbound I stood up for 7 hours from SYD-SIN as cabin crew decided my leg was sticking out too far and there was insufficient room to get my leg under the seat. On the return my seat offered better leg room but despite many empty seats BA allocated two large men next to me. I had to have my carry on case to keep my leg elevated which meant the two men were trapped in their seats. BA didn't ask to see my Dr's letter to understand what I was going through. The staff did their very best to avoid all eye contact with passengers (presumably in case we asked for something!). My headset socket didn't work but the staff just blamed the previous crew. I could write about the state of the toilets but I'd rather forget what I saw. Suffice to say I drank nothing on the flight to ensure a bathroom visit was not required. My experience with BA has left me quite certain I will never book them again.
119,Premium Economy,Boeing 777-200,2x4x2,,,,,,,,,,no,2.0,1.0,1.0,3.0,2.0,Flying from London to Mauritius and back. On way out footrest not working - broken and reported to crew who did nothing. Reported to BA on arrival. Return to LGW 2 weeks later same run down aircraft seat not fixed and in addition my wife's was broken as well this time. Reported to crew again and an engineer did a temporary fix before take-off. It soon broke again! Didn't have dinner it was 1am but breakfast was the worst I have been presented with in over 40 years of frequent flying a grey/green omelette and undercooked sausage - I did not eat it. It was an old WT+ cabin and even if they had been properly working the seats are not good. Food same as Economy drinks from plastic and paper cups. It really is a very poor product and BA should be ashamed of it. I would not travel with BA long haul in this cabin ever again as it offers poor value for money and great discomfort. Save up to go Club if at all possible or choose another airline on the same route whose Premium Economy lives up to what it claims.
120,Economy Class,A319,3x3,,,,,,,,,,no,1.0,1.0,1.0,1.0,1.0,Beware of seats 25A/B on the new layout in the A319. They are placed where one of the toilets used to be. There is no window and it feels cramped and claustrophobic. You are also adjacent to the door of the one remaining toilet so expect smells and long queues next to you for most of the flight.
121,Economy Class,A380,2x4x2,,,,,,,,,,no,1.0,4.0,1.0,1.0,3.0,"Hong Kong to Heathrow return. We thought it being 1 of their new A380 aircraft it would be enjoyable how wrong we were. Sat in seats 71a 71b going over 81a 81b coming back - most uncomfortable seats ever and what's with the entertainment box being under the seat in front of you. I am only 5'2"" tall and had no room for my feet because of this box and the Middle armrest only goes half way up. We have flown long haul many times and this would have to be the worst experience ever."
122,Economy Class,A380,2x4x2,,,,,,,,,,no,1.0,2.0,2.0,1.0,2.0,We had flown LAX to Heathrow in BA World Traveller plus seats 2x4x2 and were able to survive - but on the return in the standard Economy seats it was awful. It was inhumane! If the seat in front reclines you are trapped. The armrest won't come all the way up so a large person has an awful time getting out of their seat. I would hate to be in the middle of a row. Very bad and unhealthy seating.
123,Economy Class,A380,2x4x2,,,,,,,,,,no,1.0,1.0,1.0,1.0,3.0,"I flew from Hong Kong to London. After a code share on an old Cathay Pacific plane I was looking forward to flying on one of the new A380s. I was quickly disappointed however. BA have decided to cram people in on this new plane. The legroom and general seat comfort was very poor. I only fly BA as I travel a lot with work and use BA for EU flights but I won't fly long haul with them again. It's disgraceful the tiny amount of room they give while continually saying ""enjoy your flight"". It is a matter of endurance not enjoyment."
124,Premium Economy,Boeing 747-400,2x4x2,,,,,,,,,,no,2.0,2.0,1.0,1.0,1.0,Just returned from London into Vancouver. Seats are not comfortable. You could get jammed into a wretched four in a row middle seat. Leg room and recline marginal. Food horrific. Service average. Scratchy blanket. TV screen kept freezing and acting up. Just economy with a little bit more leg room and given the lack of comfort not worth it. I will never book this again and will not fly British Airways again - part of it is just a feeling of the crew not caring very much. Not very pleasant either being sandwiched between business class and first class which had lovely cabins service and reclining seats. Felt like a lower class citizen with the red rope across the curtains to first class. The food was horrific. No priority boarding. Last bags to be let off in Vancouver.
125,Economy Class,Boeing 777,3x3x3,,,,,,,,,,no,1.0,1.0,3.0,2.0,1.0,London to Bangkok 12 hour flight. Seat in front was in full recline position for 10 of those hours. Couldn't see the tv screen in front of me as too close with the recline position of person in front. Felt very claustrophobic and couldn't sit comfortably as no leg room - sat at an angle and now very stiff. Endurance test!
126,Premium Economy,Boeing 777,2x4x2,,,,,,,,,,no,5.0,3.0,3.0,2.0,3.0,I have travelled long haul premium economy with a number of other airlines and have not used BA service for long haul before. However this trip was by some margin the worst I have experienced on long haul. I fear BA's hype about investment in premium economy seats is ill founded and after some 24 hours in the same seat broken by stop for refuel in Singapore I came into Heathrow sore from the seat. The service was satisfactory and when I became ill on one leg of the flight staff couldn't have been more helpful. But the seat discomfort was such that I would only choose BA for long haul as a last resort.
127,Premium Economy,BOEING 747-400,2x4x2,,,,,,,,,,no,2.0,1.0,1.0,1.0,1.0,Flew with my daughter from London Heathrow to Dubai on Valentines Day. This is a terrible product offered from BA. Have flown Virgin Premium Economy which knocks the socks off this BA product? Seats are incredibly uncomfortable - both recline and leg rest allow no comfortable position. There is no sense of a premium product. Bitterly regret booking BA for this trip and dreading return flight. Considered upgrading to Club but would cost an additional £2900 pp! again.
128,Premium Economy,BOEING 777-300,2x4x2,,,,,,,,,,no,3.0,5.0,3.0,3.0,2.0,Dubai to LHR I have never had such uncomfortable seats bar the likes of Easyjet etc. It was a shame as it was an upgraded cabin so had new IFE etc only good thing! No seat padding they also seem to have narrower seats than the old style. But what really bugs me is that we have to use the same loos as the 200+ people behind me nothing personal but it's yucky. I couldn't eat either meal choice so got stitched with an economy meal. Miserable Staff as well.
129,Economy Class,BOEING 777-300,3x4x3,,,,,,,,,,yes,5.0,4.0,4.0,4.0,4.0,The economy class seats at rear of B777-300 are very comfortable with good stretch of legs possible and good lumber support. I like the winglet headrest too.
130,Economy Class,BOEING 747-400,3x4x3,,,,,,,,,,no,1.0,2.0,2.0,2.0,1.0,The legroom is equivalent to a cheap charter short haul. The TV screen is ancient and poor quality . never again! Behind me was a tall man with his knees in my back who simply had no where else to put them. When I discussed it with him it was almost an air rage incident. I doubt the staff would have resolved it. He simply did not fit the seat. The flight from LHR to MIA was an hour extra sitting on the ground due to a cargo mess up.
131,Economy Class,BOEING 787,3x3x3,,,,,,,,,,yes,1.0,3.0,4.0,1.0,5.0,The plane is new and the seat is comfortable even there is not enough legroom and in the configuration 3x3x3 the window seats are really difficult to reach. The entertainment system is great and the way the screens are built makes what you're watching not visible to the other passenger.
132,Premium Economy,BOEING 747-400,2x4x2,,,,,,,,,,yes,5.0,4.0,4.0,3.0,3.0,Seats 12A & 12B are the best seats in the cabin then 11J & 11K as they are bulkhead seats and you have the benefit of nobody reclining a seat in front of you both sets of seats give more legroom but 12AB give the most 12A and 11K are infant bassinet positions so these are not usually available to reserve until 24 hours before departure unless you are travelling with an infant. The AB side of the aircraft are served first for everything so you have a better chance of getting the meal of your choice on that side of the aircraft rather than the JK side. All seats are much much better than normal economy and definitely worth paying the extra for the premium ecnomy (world travelller plus as BA call it) especially if you can get seats in the pairs of AB/JK rather than the 4 in the middle. Window seats can be difficult to get out of when the person next to you in the aisle seat is in a reclined position and asleep.
133,Economy Class,BOEING 747-400,2x3x2,,,,,,,,,,no,1.0,1.0,1.0,1.0,2.0,Flew from LHR to BKK return with British Airways. Do this trip regularly with Thai and I will be going with them on my next trip. I only used BA as they were offering relatively cheap flights on offer but this turned out to be a major faux pas. BA were frankly awful and I wouldn't consider flying with them again.
134,Economy Class,AIRBUS A380,2x4x2,,,,,,,,,,no,1.0,1.0,2.0,1.0,3.0,Terrible seat configuration on BA A380 economy upper deck. Seat space is cramped and arm rest can't be fully up. It hanged at an angle which is dangerous and inconvenience when u are travelling with a child.
135,Economy Class,BOEING 777,3x4x3,,,,,,,,,,no,1.0,1.0,1.0,1.0,1.0,LHR-ORD-LHR I was pleased to see that the return flight was on a new 777 with larger monitors. I had a window seat 41K on BA296. However this was the most uncomfortable flight I have ever been on. I am 6' tall. I had absolutely no legroom with my knees pressing into the seat in front. This became even more uncomfortable once the passenger in front reclined their seat. I could not move my legs due the large entertainment system metal box on the floor immediately in front of where my right foot should rest forcing me to shift my foot far to the right. It was almost impossible to get up from my seat and get to the aisle with the seats in front reclined. I could not open my laptop on the table. I am a medical doctor. This cramped uncomfortable posture and difficulty in getting up to walk must considerably increase my risk of deep vein thrombosis and pulmonary embolism. This was more cramped than any budget airline I have been on. Having been a loyal BA customer for decades I will now never fly with BA again. Really disappointing.
136,Economy Class,BOEING 787,3x3x3,,,,,,,,,,no,1.0,3.0,2.0,5.0,2.0,31C very cramped the seats feel smaller than other aircraft in the fleet in Economy. Once I had put my books and newspaper in the pocket in the seat in front my knees were right up against it. The table is very small. The biggest gripe I would have is legroom this is severely hampered by the In Flight entertainment box being placed under the seat in front.
137,Premium Economy,BOEING 747-400,2x4x2,,,,,,,,,,no,1.0,1.0,1.0,2.0,2.0,As I am now retired I fly long haul at least three trips a year. I also upgrade to premium economy as at 6foot 2 inches the seat pitch of 31 inches is crippling. On 1/10/2014 I flew BA 274 from Las Vegas to LHR BA premium economy the aircraft was old and tired and although the pitch was adequate I was budged up beside my next door passenger. Needless to say I will not be flying BA again as I object to paying thousands for business. Why do the various Far East Airlines give so much more for your money.
138,Economy Class,BOEING 747-400,3x4x3,,,,,,,,,,no,1.0,1.0,1.0,2.0,4.0,We had a miserable experience flying directly from Phoenix to Heathrow and back. The seating was much more cramped than in the past with little leg room nowhere to rest elbows and inevitable physical contact with the person next to you. When the passenger in front of you reclines the seat you're even more cramped. There need to be some limits/rules about it. It's flight rage waiting to happen.
139,Economy Class,BOEING 747-400,3x4x3,,,,,,,,,,no,1.0,1.0,1.0,1.0,2.0,You can't get out of the seat into the aisle as the arm-rest doesn't move so you have to haul yourself out. the length of the seat is terrible I am short but it finished half way along the thigh. If the seat in front is reclined you have your screen literally touching your face the toilets are no better than a charter flight airline the staff are only interested in the business/higher classes. Overall a very bad experience.
140,Premium Economy,BOEING 777,2x4x2,,,,,,,,,,yes,5.0,4.0,4.0,4.0,2.0,You're paying for leg room. That's the only benefit. A tremendous benefit yes but it's still an airplane getting you from A to B long-haul. Presumably had same food as Club World (this was a three- class airplane) no preflight bubbly. Outbound flight overnight -- seemed like an airborne campground with litter everywhere. Homebound in daylight much neater. Pricey. Can't see me sitting in economy for ten hours over eleven hours back. Wedged in. Leg room is worth it.
141,Economy Class,BOEING 787,3x3x3,,,,,,,,,,no,1.0,3.0,2.0,1.0,3.0,More like nightmare than Dreamliner! Appalling leg room suitable for amputees only! Wider seat offered for $300 one way! Service and food good except for cake in cellophane for breakfast.
142,Economy Class,BOEING 777-200,3x4x3,,,,,,,,,,no,3.0,4.0,4.0,3.0,1.0,The seats were not very comfortable and you can feel the movement of the person sat behind you each time they retrieve/search for something in the seat pocket. The video screen were also very small and the resolution was low.
143,Premium Economy,BOEING 777-200,2x4x2,,,,,,,,,,yes,5.0,4.0,5.0,4.0,5.0,Gatwick to Tampa in premium economy a plane which had new premium economy. The seats were comfortable good leg room (I'm 6ft) and good recline. Cabin crew were great and friendly.
144,Economy Class,BOEING 747-400,2x4x2,,,,,,,,,,no,5.0,2.0,2.0,5.0,3.0,SFO-LHR in 28J in the old iteration of World Traveller Plus. These seats are really uncompetitive when compared to the new WTP seats on BA's A380s and some 777s and Virgin Atlantic's Premium Economy seats. While I was happy with legroom and access to aisles the seats are hard cramped and rather uncomfortable. BA have no plans to upgrade this cabin as they slowly retire their large 747 fleet. This is a pity because I will actively avoid routes this seat this seat is featured on giving my business to Virgin Cathay or EVA's superior Premium Economy products or alternative BA flights on newer aircraft with the new seats when available.
145,Premium Economy,BOEING 777-300ER,2x4x2,,,,,,,,,,yes,3.0,4.0,3.0,4.0,5.0,"We were in WT+ seats 23 A and B from LHR to SEA. On this 777-300 we had the ""new"" World Traveler Plus seats. The seats are a step up from the shabby WT+ seats on the 747-400 we had on our outbound flight. The seats were ""slimline"" with very little seat padding and poor lumbar support. Probably the best feature of the new WT+ seat is the larger AVOD monitor built into the back of the seat in front. The new AVOD system is far superior especially the moving map function. There is a foot rest that drops down from the seat in front; it's nice but doesn't add much to the experience. Lavs (just two of them one on each aisle) are located just aft of the WT+ cabin and are shared with the main WT cabin; otherwise you have to hike back to the very rear to make use of the lavs there. Like other BA long-haul aircraft the 777-300 does not have passenger air vents above the seats in WT or WT+. Because the cabin temperature is kept at near-sauna levels the lack of vents can make the trip very very uncomfortable. Perhaps the biggest shortcoming is that leg-room is restricted by two metal equipment boxes under the seats in front. The boxes restricted the ability to stretch legs and effectively prevented storing any carry-ons under the seat in front. While the new WT+ has its short-comings it is still far superior to anything offered by US carriers as a premium economy product. For us the positives were worth the cost belong regular WT and in any event the cost of WT+ was far less than what we would have paid for Club World."
146,Premium Economy,BOEING 747-400,2x4x2,,,,,,,,,,yes,4.0,4.0,3.0,5.0,2.0,"We flew SEA-LHR on an aging 747-400 in World Traveler Plus seats 29 J and K near the 3R door. BA boards WT+ dead last. The seats were the old WT+ and showed their age in all respects (worn dirty etc); the AVOD monitor for seat 29J was so badly scratched and smeared that it was difficult to watch anything. The cabin was unbearably warm; be aware that BA's long-haul fleet evidently do not have seat air vents - so no way to keep cool. Seat 29K has no seat in front of it which makes leg room excellent and also allows for easy access to and from the seat to the aisle and area around the exit door. Seat width is poor and the seat has function buttons (and AVOD controls) on the inside of the arm rest making access and use very difficult. While it's true that the cost of WT+ is far less than the cost of Club World there is a big difference in seat comfort and the ability to get any real rest/sleep. On the other hand WT+ is far superior to what US airlines offer as their premium economy product (e.g. Delta ""economy comfort"" on its 767-300 on the same SEA to LHR route)."
