,Lounge Name,Airport,Type Of Lounge,Date Visit,Type Of Traveller,Comfort,Cleanliness,Bar & Beverages,Catering,Washrooms,Staff Service,Recommended,Wifi Connectivity,reviews
175,,London Heathrow Airport,Business Class,July 2015,Business,5.0,5.0,5.0,5.0,5.0,5.0,yes,5.0,Galleries Lounge at Terminal 3 Heathrow Airport was an excellent lounge with plenty of space. It can get quite full inside during afternoon hours. Nice selection of of food and drink items. Liked the afternoon tea sandwich selections and my kids loved the hot pasta dishes. Great service by staff.
176,,Washington Dulles Airport,Business Class,August 2015,Business,5.0,5.0,5.0,4.0,,5.0,yes,5.0,"Opposite departure gate. Receptionist busy speaking to her friend on the phone so we had to wait for her to finish her conversation. A modern lounge, clean, odd shaped lounge, food good, service good,  internet, plenty magazines. An enjoyable, relaxing 2 hours."
177,,Miami Airport,Business Class,August 2015,Business,4.0,5.0,4.0,4.0,4.0,5.0,yes,5.0,"I was taken to this British Airways lounge after using the AA Admiral lounge at D gates. A warm welcome and assurance that staff would notify passengers of the whereabouts of the delayed flight to London. This is a cavernous lounge with many separate areas including a kind of play room for families. On a Sunday evening the peace and quiet in the lounge was calming. One downside is that in some seating areas it was difficult to find power points to recharge my phone. Food and beverages average although there was a good choice. Limited reading material. Wifi excellent. Staff super friendly and kept us informed of the delayed flight. This was the first time I appreciated the real benefit of a lounge when the flight was delayed by 3 hours, stretching the layover to 8 hours."
178,,Chicago O'Hare Airport,First Class,August 2015,,1.0,5.0,2.0,1.0,,5.0,yes,,Usually very good but when arriving it was being used by Cathay Pacific and I was told to go away and come back sometime later as it was quite full.  I will let you draw your own conclusion.
179,Galleries T5,London Heathrow Airport,Business Class,July 2015,Business,2.0,2.0,5.0,1.0,1.0,1.0,no,3.0,"Less crowded and cleaner than usual but still had to clear away other people's rubbish, cups, sauces etc to be able to sit somewhere. I can't believe that the catering has continued to decline, but it has. Didn't spend much time in the lounge as British Airways believe that it is acceptable to have Business class passengers queuing for bag drops and check ins for over 45 minutes."
180,Business Lounge T3,London Heathrow Airport,Business Class,July 2015,Business,2.0,1.0,4.0,1.0,3.0,1.0,no,4.0,"Very poor. Breakfast selection- dried up rolls, to the point of hard. No other selection available. Had to ask for toast. All very tired and uncomfortable."
181,,Rome Fiumicino Airport,Business Class,July 2015,Business,1.0,1.0,,,,,yes,,An update of a previous review from another customer. Three months after a fire and no reciprocal lounge facilities or vouchers for food and drink. I asked at the check-in counter how is it possible that British Airways is not taking care of this issue. The person in the counter was very aggressive: 'Alitalia will not let us use their lounges - and the other lounge is already too busy'. The point is that British Airways is not taking care of the issue.
182,Jet Lounge,Vienna Airport,Business Class,July 2015,Business,3.0,4.0,5.0,4.0,3.0,5.0,yes,4.0,"I wish British Airways operated lounges that were more like this third party facility. The staff here in Vienna was polite, welcoming, explained all the lounge facilities to us, and was generally interested in customer service, Sadly, that is something that British Airways has lost in the past 10 years. This lounge is located before Immigration and the gate security, so you need to allow 15-25 minutes to board, subject to time of day. Great range of food and beverages in the lounge, nice seating areas, and the only downside was the lack of power facilities for laptop and recharging my phone."
183,Concorde,London Heathrow Airport,First Class,July 2015,,4.0,4.0,4.0,3.0,1.0,3.0,no,3.0,"It's not really First Class. Should be advertised as Business Class. Food OK , plenty of seating, plenty of magazines, but way overcrowded when we visited. But First Class lounge? I don't think so. I tried the Turkish Airlines Business lounge in Istanbul -  that should be advertised as First . Having said that it's getting crowded in their lounge as well now."
184,,Chicago O'Hare Airport,First Class,July 2015,,3.0,2.0,2.0,1.0,3.0,3.0,no,,"The British Airways lounges at Terminal 5 in Chicago are starting to look a little dated and tired now. There are two lounges - one small First Class Lounge overlooking the tarmac and the other larger lounge opposite next to the food court. The First Class lounge is small and cramped with very little in the offering of food and drinks. It is also looking dirty too with plates and glasses taking a lot of time to be removed too. The lounge although has nice views over the tarmac did get too busy so I went across to the other Terraces Lounge. Here they offer Pre-Flight Dining, as well as seating areas and again very limited offerings of Food and Drinks. This lounge does look cleaner but feels very dark as there is no natural light again the lounge is small but soon got busy with passengers as the departure time drew nearer."
185,,Philadelphia Airport,Business Class,July 2015,Business,4.0,3.0,4.0,1.0,2.0,4.0,no,4.0,"I used this lounge as a customer with Qatar Airways. Spacious and impressive offerings of alcohol but that's about it. Food on offer in the morning was abysmal. A few dry muffins, cereal, yoghurt and sliced cold turkey. No showers to avail of. It needs a better selection of food, preferably some warm offerings. Otherwise, it was adequate."
186,,Rome Fiumicino Airport,Business Class,July 2015,Business,1.0,1.0,,,,,no,,It is disgraceful that British Airways treats its Club Europe and Executive Cub members with such disdain and contempt. Two months after a fire and no reciprocal lounge facilities or vouchers for food and drink. British Airways is enticing customers to use other airlines.
187,Galleries Lounge,London Heathrow Airport,Business Class,June 2015,Business,1.0,3.0,2.0,2.0,2.0,2.0,yes,5.0,"Given Heathrow is BA's home base you would expect their lounge facilities to be of good order. Unfortunately that is not the case as my recent visit (outward journey) highlighted a number of failings, notably quality of food, overcrowding and general ambiance. This lounge is in serious need of a 'makeover' and a new catering company needs to be introduced. On my inbound journey I decided not to use the lounge and chose instead the general T5 facilities which were of a much better standard, albeit not free."
188,Club ATL,Atlanta Hartsfield Airport,Business Class,,Business,4.0,4.0,5.0,4.0,4.0,5.0,yes,4.0,"This lounge is shared between many airlines, airside at the International Terminal. The lounge is spacious, with a few secluded quiet areas, overlooking the airfield. A friendly barman with a full choice of complimentary beers, wines and spirits. Nice choice of soup, sandwiches, cheese, cakes etc at self service buffet, but no hot meals. The lounge staff came round with mini cheesecakes and were happy to take your order for drinks. There are showers, but I didn't use them. Relatively short walk to the departure gates."
189,"Galleries, T5 North",London Heathrow Airport,Business Class,May 2015,Business,4.0,5.0,5.0,4.0,5.0,5.0,yes,5.0,"I'm a fairly frequent visitor to this lounge. It is very busy, and you might want to go to the lounge on the south side or the Terminal 5B lounge. However, I find north side comfortable, clean, nice showers and restrooms. The liquor is quite good and is free. Food is nice, quite a decent breakfast. Light snacks the rest of the day. A good selection of magazines and speedy WiFi."
190,Club Europe,Amsterdam Schiphol Airport,Business Class,,Business,3.0,1.0,1.0,1.0,4.0,,no,1.0,"The old BA lounge at Schipol was small, cramped, had a poor selection of food and the staff were indifferent at best and unfriendly at worst.  The new lounge has managed to retain all of those things, with an added 15 minute walk through a temporary tunnel from the terminal building. The only positive things I can say about this place is that the air conditioning works, and it wasn't too crowded when I visited.  I have visited BA and partner lounges worldwide.  This one is the worst by miles. Not recommended, obviously."
191,,Amsterdam Schiphol Airport,Business Class,,Business,1.0,3.0,2.0,1.0,1.0,1.0,no,1.0,New but cramped and uninviting. No pc's so if you don't have a laptop its a 15 minute trek back though the airport to find the internet facility. No information boards and staff offer no information unless asked. No update announcements. I arrived for a 6.50 pm flight and it was already known that there was at least a three hour delay but this was not mentioned ( the aircraft was still on the ground at AMS and had to do a rotation to Gatwick and back before our flight ). The flight eventually took off at midnight - during that time there were no announcements no apology and passengers were sharing information they gleaned by questioning the staff at the desk Even when they called the flight at 10.45 - presumably to turf us out of the lounge - after a 10 minute walk to the gate we found the aircraft was still disembarking. No offer of food vouchers during the 5 hour delay and the small plate of sandwiches soon disappeared around 7 pm leaving us with crisps or crackers. Really not good enough and should be scored zero for comfort food and service
192,,London Gatwick Airport,Business Class,,Business,4.0,4.0,3.0,3.0,4.0,5.0,yes,4.0,A little difficult to find! Turn left after security past London News (aka WH Smith) follow signs and it is on the fourth floor although that isn't very clear. Nice lounge large and pleasantly decorated with comfortable chairs and good position for plane spotters! We arrived around 1pm there was a small but nice fresh salad bar soup various sandwiches and fruit nuts crisps all constantly replenished the only sweet things were biscuits next to the coffee as we were leaving at 6pm it seemed hot food was being served. A good selection of wines spirits soft drinks juices tea coffee you need to ask for Champagne and I did a lot!! Staffs were all very pleasant & helpful. If you require power points the only ones I could see were at the back of the lounge in the corner opposite the wines & spirits. Personally I think there should have been some more 'dotted' about as most people require them.
193,,Glasgow Prestwick Airport,Business Class,,Business,5.0,4.0,4.0,3.0,3.0,4.0,yes,5.0,Comfortable seating good wifi OK food and snacks. Parked ourselves in the little nook with the 18 year old Glenlivet didn't want to leave to be honest.
194,,Amsterdam Schiphol Airport,Business Class,,Business,3.0,3.0,2.0,2.0,3.0,3.0,no,3.0,After reading all the reviews I wonder does BA actually have anyone reading these complaints? Have they ever responded? We travel to the USA often and when we do we use the lounges lately every thing has gone downhill in Amsterdam Schiphol selection was sparse. Heathrow too crowded people laying on couches asleep taking up seating space food selection was boring.
195,,Alicante Airport,Business Class,,Business,3.0,4.0,2.0,1.0,2.0,3.0,no,1.0,First the good points - its very large with plenty of seating and staff were friendly plus you can pay at door if not on ticket that includes entry (or have required membership level). Has lager on draught which you never see in UK lounges. On the poor side - if you are used to BA lounges in UK do not expect anything like Galleries for food and drink options - limited to small rolls with cheese or chorizo crisps or small pastries. basic stock of spirits and limited wines. Wifi signal was not great but that's not unusual in smaller airports.
196,,Lisbon Airport,Business Class,,Business,1.0,2.0,2.0,1.0,2.0,1.0,no,2.0,Very poor. This is the 5th time I have been to the lounge and against expectations it was even worse than before. Overcrowded hot poor food lame selection of drinks inconsistent internet and a location which is remarkably inconvenient this is lounge to miss. Staff? What staff! No-one showed an interest and little action to clean refresh the food or make us feel welcome. Quite why BA continue with it I am not sure - I can only assume that none of their staff have used it.
197,,London Heathrow Airport,Business Class,,Business,4.0,5.0,5.0,2.0,4.0,4.0,yes,4.0,Very good space excellent staff good views range of drinks disappointing and predictable food. The T3 lounge is very good - a wide range of different sitting spaces great views of the runways and aircraft delightful staff and a very strong range of drinks. Relaxed and welcoming. The minus is that the food offering has remained the same for at least 2 years and is modest in its range and quality - disappointing.
198,,Dubai Airport,Business Class,,Business,5.0,4.0,4.0,4.0,3.0,4.0,yes,3.0,Quite a tight little lounge however adequate. I was the first in for the 9.20 flight to LHR. Nice selection of breakfast foods and drink. Papers and magazines all in order. The wifi was a bit slow and dropped quite frequently. Interestingly there were quite a few birds yes birds in the lounge that made it feel quite exotic. Obviously not a feature but watching the sing and fly around my head did make me smile. The lounge was between gates 22 and 26 and our gate was 11. Which did mean a bit of a schlep to the gate!
199,,Amsterdam Schiphol Airport,Business Class,,Business,1.0,4.0,1.0,1.0,1.0,5.0,no,3.0,I visited the new British Airways lounge yesterday after a 25 minute treck across the roof tops of the terminal building exposed to the elements. Do bare in mind that the 25 minute treck is just to get the new lounge you will need to add at least 40 minutes to get to the departure gates & through security. The new lounge appears to have less seats than the old lounge it is narrow & cramped & you still need to leave the lounge to use washroom facilities. The refreshments are very poor nothing as improved in this area so still a very poor selection of drinks & food & snacks. The furnishings are trendy as opposed to being comfortable & functional as well as being cramped with little privacy if you want to have your own space. At the moment I would not entertain visiting the British Airways lounge until the building work has been completed towards the end of 2015 as it is not worth the effort it takes to reach the lounge after check in or leave the lounge to get to the departure gate. Once again British Airways have missed the boat on redesigning something which could be wonderful for their passengers.
200,Salon Des Vignobles ,Bordeaux Airport,Business Class,,Business,4.0,3.0,3.0,3.0,1.0,1.0,no,2.0,"There's nothing like a good lounge before your flight to make things easier - and this is nothing like a good lounge. It is the worst lounge I've ever used. Having said that it isn't quite as bad as some other reviews across the Internet might lead you to believe. We arrived about 90 minutes before our British Airways flight from Bordeaux to London Gatwick and the whole Club Europe check-in process was very friendly and smooth. We were issue with an invitation to the lounge; you then have to go through security (no fast track of course!) and present your invitation to the ""Cafe News"" on the airside. They will then give you the code for the lounge's front door. You have to enter this yourself; the lounge has no staff at all. However the member of staff at the cafe was very pleasant. There is a vending machine serving hot drinks which I found acceptable but be aware that the default choice adds sugar to everything which I did not want. There are a couple of local wines in a cooler and various spirits with soft drinks and mixers in the cooler. A few food items are available; in our case since we had a morning flight there were some quite fresh croissants and pains au chocolat which were actually quite good. The seating is rather old but not uncomfortable. The lounge itself was mercifully quiet which I suspect is usually the case for what is most probably a mainly holiday destination. Some of the tables could have used a quick clean but nothing serious here. So all in all if you can get a good price for your business class seat it may be worth it for the additional pre-flight comfort but anything like standard business class prices are definitely more than it's worth paying for this lounge."
201,,Amsterdam Schiphol Airport,Business Class,,Business,1.0,4.0,1.0,1.0,1.0,5.0,no,3.0,I visited the new British Airways lounge yesterday after a 25 minute treck across the roof tops of the terminal building exposed to the elements. Do bare in mind that the 25 minute treck is just to get the new lounge you will need to add at least 40 minutes to get to the departure gates & through security. The new lounge appears to have less seats than the old lounge it is narrow & cramped & you still need to leave the lounge to use washroom facilities. The refreshments are very poor nothing as improved in this area so still a very poor selection of drinks & food & snacks. The furnishings are trendy as opposed to being comfortable & functional as well as being cramped with little privacy if you want to have your own space. At the moment I would not entertain visiting the British Airways lounge until the building work has been completed towards the end of 2015 as it is not worth the effort it takes to reach the lounge after check in or leave the lounge to get to the departure gate. Once again British Airways have missed the boat on redesigning something which could be wonderful for their passengers.
202,Galleries Lounge ,Edinburgh Airport,,,,4.0,5.0,5.0,3.0,4.0,5.0,yes,4.0,Read some poor reviews but we had a few hours to wait so thought we should at least try the lounge. The hostess was pleasant and promptly checked us in and provided a quick overview. Lots of seating was available so we picked a couple of seats with power outlet. The seats were well maintained clean and comfortable. A couple of ladies came around frequently to clear dishes and we found them very pleasant. Food was a nice potato and leek soup and sandwiches. Sandwiches weren't the best. Good selection of refreshments. Would happily return.
203,Terraces Lounge ,London Gatwick Airport,,,,1.0,3.0,5.0,4.0,4.0,5.0,yes,4.0,"I use this lounge five times a year. Today I arrived from a 12 hour flight and had a four hour stop over before my next flight. I arrived in the lounge at 8.45am - It was heaving, no comfortable chairs to sit in and relax after a long flight dirty plates cups and rubbish left on most tables. I went to the ladies loo which had a long queue but very clean - and for a shower which I did not have to wait for which were clean and very good. Sadly the lounges area seems to be full to bursting on most occasions when I visit - it used to be a quiet relaxing lounge but on two occasions I have left and used my Priority Pass for the quieter No.1 Lounge downstairs. BA really need to enlarge this lounge as it really doesn't cope with the volume of passengers using it anymore. The staff are always helpful but there does need to be more of them in busy periods. The food is of very good quality and choice (much better than on the flights)."
204,Galleries Lounge ,London Heathrow Airport,Business Class,,Business,3.0,3.0,3.0,3.0,3.0,4.0,yes,4.0,British Airways T5 in London has Business Lounge Galleries. The Lounge has good buffet with different options generously offered alcoholic drinks wifi good and wide with fast workstation.
205,,London Heathrow Airport,Business Class,,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,1.0,Absolute disgrace. BA should be ashamed (but obviously are not). There are enough negative reviews online - but it has to be experienced to be believed. Filthy torn upholstery. Food selection that resembles a self service cafeteria in a 1970's service station on the motorway. I was sent a survey by text from BA as I walked out of the lounge after being there for 5 minutes. I let them have my thoughts and they did call me. They assured me the lounge was going to have a multi million pound refurbishment - great but it doesn't help me and as I pointed out why is the lounge allowed to fall into this state of disrepair?
206,Blue Lounge,Lisbon Airport,Business Class,,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,1.0,A shocker - quite the worst lounge I've seen anywhere. BA should be ashamed to have it's name outside. The ambience of a suburban bus station no food you'd actually want to eat limited drinks options curt reception staff and grotty toilet. The Harrods cafe just outside is a better option.
207,,Vancouver Airport,Business Class,,Business,4.0,5.0,5.0,4.0,5.0,5.0,yes,5.0,On entering the lounge we received an excellent welcome from a very pleasant hostess who checked us in promptly. Heading to the seating area we were again welcomed by another staff member who escorted us to a couple of seats by the window. She took the time to explain the lounge layout and brought us some water. Throughout our stay the staff were extremely pleasant and attentive clearing glasses promptly and refilling water glasses. The lounge was clean and seats comfortable and in good condition. Electrical sockets were conveniently located for access to power. Food was soup and a good selection of sandwiches can't comment on quality as we didn't partake. A good selection of tea. coffee beer wines and spirits were available.
208,,Rome Fiumicino Airport,Business Class,,Business,5.0,5.0,4.0,4.0,4.0,4.0,yes,4.0,Nice lounge in T3. Comfortable and ample seating. Beer available on draft which is a nice touch. Wine spirits and soft drinks. Wifi speed good enough for emails and web browsing and easy to log on. Sandwiches light snacks and soup. Only downside is that there is no view. Please be aware that to get from the lounge to the G gates involve getting on the shuttle train - so allow enough time. They make announcements when the flight is ready for boarding. I can confirm that the lounge does have its own toilets.
209,,London Heathrow Airport,Business Class,,Business,2.0,1.0,2.0,1.0,1.0,3.0,no,2.0,This lounge is an absolute disgrace. Lounge filthy toilets disgusting and food terrible. Baked beans curry and carrot soup what a cliche. There is some really serious work to be done here.
210,,London Heathrow Airport,Business Class,,Business,1.0,1.0,1.0,1.0,1.0,3.0,no,1.0,This lounge is a disgrace for a national carrier at its home hub. The lounge is way overdue for a refurbishment - the chairs are old tatty and falling apart. The food is plentiful but poor and self service - so breathed and coughed over for hours.
211,,London Heathrow Airport,Business Class,,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,1.0,Just awful. Way too many people. Food is terrible. I tried to have a beer but all of them were too warm. Plus there isn't much of a variety much Heineken Tiger or nothing. Wifi is slower than a 1990's dial up internet line. I travel quite often but even though I'm a Silver Member I rarely use the lounges anymore. I head elsewhere.
212,,Amsterdam Schiphol Airport,Business Class,,Business,1.0,2.0,1.0,1.0,1.0,1.0,no,1.0,Dreadful new lounge. There is a 50 minute walk to the gate! Via a temporary roof walkway (till April I was told). By the time you have trekked over the roof of the airport it is not worth it. The lounge is small sparse cramped. Few facilities even the toilets are outside. Only breakfast items were small cartons of corn flakes. No milk provided. Thanks BA. Awful lounge not worth the visit.
213,,London Heathrow Airport,Business Class,,Business,1.0,2.0,2.0,1.0,1.0,1.0,no,2.0,Way too busy staff that begrudgingly go about their jobs. Beginning to think that my membership of the executive club is now far less appealing than it used to be. I have travelled extensively on business and generally have a far better experience with Emirates or Singapore Airlines. Even the Lufthansa lounge at Heathrow has a better ambience. BA need to take the time to give this place a much needed uplift. If customers paying premium fares help BA survive more needs to be done to ensure they don't go looking for the premium service they pay for elsewhere.
214,,London Heathrow Airport,Business Class,,Business,2.0,1.0,2.0,1.0,1.0,1.0,no,2.0,Lounge was dirty (very dirty) when I visited at 0915 on 27th January. Staff are beyond rude and standards have continued to drop every time I visit. Have they had a pay cut as they appear seriously unhappy and make an effort to be difficult and offhand to us paying customers. Sadly this is something I have noted onboard as well during last 2 long haul flights to Chengdu and back. Product is well below Asian airline competitors and Lufthansa and Air France are ahead of BA in the business class game. Amenities catering and service onboard Club World are a joke and I guess the only satisfied travellers are those who have never flown other airlines apart from BA.
215,Sea Pro Air ,Rio De Janeiro Airport,Business Class,,Business,1.0,2.0,2.0,1.0,1.0,1.0,no,1.0,All of the ambience and comfort of a hospital waiting room! Cramped with uncomfortable chairs arranged in squares with very few tables for plates and glasses. Poor selection of unappetizing food No showers. No Flight information displays. Very difficult to access with wheelchair - lifts are behind padlocked fire doors. The most disappointing lounge I have visited.
216,Concorde,London Heathrow Airport,First Class,,,5.0,5.0,5.0,5.0,5.0,5.0,yes,3.0,A totally different experience from the usual BA self service arrangement which can be great or not so great. Everything is served from cooked to order meals in private booths to drinks at the bar. Generally of top class hotel fit out and a great 'outdoor' terrace overlooking the concourse. Get there early to fully enjoy it. The only annoying matter was the irritating background music. Switch it off!
217,,Singapore Changi Airport,Business Class,,Business,5.0,5.0,5.0,4.0,5.0,5.0,yes,5.0,I liked its quietness. Its cosy with comfortable sofas. Food options are limited but just enough for my needs : rice pasta chicken curry meatballs cheese salad bar snacks. Wine selection is small and champagne is self-service. The staff are attentive at reception and in the lounge. They come around with hot canapes.
218,,Rome Fiumicino Airport,Business Class,,Business,5.0,4.0,4.0,3.0,3.0,3.0,yes,1.0,My partner and I spent a relaxing couple of hours in this lounge. The atmosphere was quiet. Big comfy sofas and chairs a good range of soft drinks beverages and alcoholic drinks available as well as fresh fruit and yogurts in the fridges canapes sandwiches nuts and cakes. We didn't need wifi so can't comment on whether it was available. Previous reviewers have stated that the lounge doesn't have its own loos not true it does. But we did not see any showers available.
219,Chinook Lounge,New York JFK Airport,Business Class,,Business,1.0,1.0,3.0,3.0,3.0,3.0,no,4.0,Busy busy busy. More people in the lounge than at the bars and restaurants outside. Nowhere to sit for the first hour then table sharing and bag stacking for the rest of my stay. Staff couldn't keep up with the mess and catering demand. Aside from the 12hr delay the BA lounges have gone downhill fast. Loud and messy chaos!!
220,Chinook Lounge,Calgary Airport,Business Class,,Business,2.0,3.0,1.0,1.0,3.0,2.0,no,2.0,Awful! No still bottled water - have to use a machine linked to the mains. Only a hot soup type thing and no other hot food. Dried sandwiches horrible coffee. BA - why do you bother with this lounge?
221,,Toulouse Airport,Business Class,,Business,1.0,2.0,2.0,1.0,1.0,2.0,no,3.0,I visit Toulouse nearly every week and this is the worst airport lounge I have experienced. Food selection poor drinks even worse which is unbelievable given we're in France - where's the wine? Interior decor is horrendous. The yellow red and green faux leather seats make it look like a 'wacky warehouse'. Its a shared lounge too and therefore way too cramped. BA nearly always has a full flight whenever I travel to TLS so I would expect them to help push for a lounge that its business travellers deserve!
222,Club Europe,Amsterdam Schiphol Airport,Business Class,,Business,2.0,4.0,2.0,2.0,1.0,4.0,no,4.0,Disappointingly cramped crowded and bare this was a surprisingly disappointing lounge with a paucity of refreshments and even these were in short supply. Given the significance of Schipol I was a little taken aback by the limited facilities (no loos inside the lounge for example). The staff were courteous but little else shone.
223,Galleries Lounge,Athens Airport,Business Class,,Business,4.0,5.0,4.0,3.0,1.0,4.0,yes,5.0,A good experience. Helpful staff good refreshments in terms of quality and variety. The lounge itself disappoints a little as it has no bathroom facilities inside it and it is a rather plain room but more than adequate. Wifi was good and I suspect much could be improved by altering the seating plan and providing washrooms. Great location next to security and a pleasant enough stay.
224,Galleries Lounge,London Heathrow Airport,First Class,,,1.0,2.0,1.0,1.0,1.0,2.0,no,2.0,Pretty poor for a first lounge. I've used plenty of the major airline's first class lounges: Qantas Cathay Emirates American etc: and considering this is the First Class lounge at BA's flagship terminal; I was pretty unimpressed. Firstly the breakfast was awful. The scrambled eggs on the buffet were more milk than egg. The coffee was out of a machine: no trained Barista and the menu that was available was very limited. I also had to queue for the toilets: not a shower. Just the toilets. Maybe this can happen in the business lounge but you just wouldn't expect this in first. Then it's the little things. I sat in quite a comfy seat with decent views but I could not charge my phone as there was no USB amenities. Also they had international power outlets but not Australian/New Zealand and I had already packed my adapters in my checked baggage. These are the type of small items that with a little thought can make a big difference to one's comfort whilst travelling. Sorry BA but you've failed. I'd look at what Cathay Pacific have done in Hong Kong and Qantas in Sydney. I love the Qantas first lounge in Sydney but Cathay's first class lounge in Hong Kong is spectacular.
225,Delta Sky,Orlando Airport,Business Class,,Business,3.0,3.0,3.0,3.0,3.0,3.0,no,4.0,Lounge comfortable snacks and drinks sufficient. unable to relax due to noisy kids and to top it all a mouse was spotted running around near our bags. Flight delayed by over 2 hours this lounge closes at 8.30 unfair if your flight is delayed and you have paid for this privilege!
226,Iberia Lounge,Madrid Barajas Airport,Business Class,,Business,4.0,4.0,4.0,4.0,4.0,4.0,yes,4.0,Really much improved my last visit here in May. The food was plentiful and of good quality the wine selection improved and the cleaning service coped well with a busy lounge. The dramatic improvement in internet is also noteworthy - no longer the inappropriate scratchcard system and now good quality wifi to which you can connect direct. Helpful staff and wonderful views. Excellent - well done on the improvements.
227,,Mumbai Airport,Business Class,,Business,4.0,5.0,2.0,2.0,1.0,3.0,no,1.0,BA has no control over this lounge as it is shared. Unbelievable that a brand new terminal would have shared facilities. It is an open bland fairly uninteresting space with a section 'cordoned' off for First Class pax. Food and drink the same for everybody. What is totally ludicrous is that in a brand new lounge in a brand new terminal there is only one men's and one women's toilet. Utterly inadequate.
228,Galleries Lounge,London Heathrow Airport,Business Class,,Business,3.0,4.0,4.0,4.0,3.0,3.0,yes,5.0,I had an evening flight and the lounge was overcrowded. I travelled with a friend and it has very hard to find a place to sit down. There wasn't much space to relax in either once you found a spot. The plus side is that there was a good selection of sandwiches and decent WiFi.
229,Terraces Lounge ,London Heathrow Airport,Business Class,,Business,3.0,3.0,3.0,2.0,3.0,3.0,yes,5.0,"After Fast Track - instead of being able to walk about thirty yards to the Business (Club) lounge passing through the First Concorde Lounge - you have to walk left descend a floor walk back under where you have just walked and then take an escalater up again. What a nightmare. I am a disabled passenger but I was not allowed to walk through the Concord area to the Business Lounge - I was not amused. Certainly a user-unfriendly route from fast-track to the lounge. The Business Lounge is large and busy but looks increasingly ""tired"". They have stopped providing the Daily Telegraph and at the drinks area they have stopped providing Campari. The chairs and carpets appear very ""well-used"" and some of them appear to be well beyond their ""sell-by"" dates. Food provided was so-so - good croissants but uninspiring lunch choices. When this lounge opened it was wonderful. Today it does not hold a candle to the First Concorde lounge (which I have also used on eleven occasions). Although I recommend the lounge it is with some reservations."
230,,Philadelphia Airport,Business Class,,Business,4.0,4.0,3.0,4.0,3.0,4.0,yes,4.0,This lounge has a real problem With US Airways in Oneworld all AA and US travelers are trying to use it as it is much nicer than the either the Admirals Club or US Airways lounge. Staff are in the unenviable position of turning people away and denying guest privileges to keep it within the fire regulations for capacity. BA clearly needs to restrict to only BA travelers and EC card holders. JAL has no problem doing the same with their First lounge in Chicago due to space limitations.
231,,Rome Fiumicino Airport,Business Class,,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,1.0,This lounge is outdated needs a total refurb! I would be less than impressed if I had paid club prices for the experience. Furniture old staff rude drink and food selection exceptionally poor. You have to share a bottle of coke and the glasses are filthy and scratched and no wifi!
232,,Singapore Changi Airport,Business Class,,Business,4.0,4.0,3.0,3.0,4.0,4.0,yes,4.0,I think the earlier reviewer of this lounge must have been in a temporary lounge. The new BA lounge is spacious probably bigger than it needs to be and looks great. A much superior offering to what BA has to offer in other airports eg BKK and MIA. The wine selection is limited with two whites two reds and a champagne. Usual selection of beers and spirits. Good selection of sandwiches and cheese but no hot food other than Heinz tomato soup ! Staff are attentive wifi is good with decent speed. There's is no business centre and no tv screens so overall the lounge is a quiet area.
233,Terraces Lounge ,London Gatwick Airport,,,,2.0,3.0,3.0,3.0,3.0,2.0,no,5.0,I want to like it so much as it was the first lounge I ever used - but it is tired and needs a considerable refit and upgrade. Positives: good supply of drinks (of all types); nice open space; free wifi which is efficient. Negatives: wine was not cold; food was poor in terms of variety (just cheese/ham/salad) but fine in terms of quality; unusually the staff were not attentive or helpful (but that is unusual); poor seating space and decor/furniture really needs upgrade.
234,Prime Class,Istanbul Airport,Business Class,,Business,1.0,1.0,1.0,1.0,3.0,1.0,no,3.0,A bad anomaly at the fairly new Ataturk International airport in Istanbul compared with the excellent Star Alliance lounge which I have also used in the past. A scarred wooden floor with large dark gouges dirty armless chairs very closely spaced together dingy lighting a very limited and poor food and drink selection few information monitor screens located far from the boarding gates. In short a disaster rivaled only by the American Airlines lounge in Lima Peru.
235,,London Heathrow Airport,First Class,,,2.0,2.0,2.0,2.0,1.0,2.0,no,2.0,I had the opportunity to visit the BA first class lounge in terminal 5. It was really crowded dirty and untidy. I had to make queue to use the bathroom. The food from the buffet was poor and the white wine was warm.
236,Sala VIP,Barcelona Airport,Business Class,,Business,4.0,3.0,5.0,1.0,3.0,2.0,yes,1.0,Many good features but let down by wifi (you have to pay after 15 minutes of free use) and food (quality is fine but variety and quantity is disappointing). The drinks selection was very good the comfort certainly good and it was a busy though comfortable atmosphere.Not that easy to find it is friendly enough. The wifi issue is a considerable downside and the food was simply not plentiful enough - long periods without anything other than chips/crisps and then narrow range. Drinks - of all types - were plentiful and good quality. Seating was comfortable though the lack of power sockets was a little surprising.
237,Galleries Lounge,London Heathrow Airport,Business Class,,Business,2.0,2.0,1.0,2.0,2.0,1.0,no,3.0,Very poor low grade business lounge. No champagne on offer unless you ask for it !! But very few staff around to ask. It looks tired with stained upholstery. Seats arranged in long functional rows along the walls - no different from the departure lounges. I normally fly Qatar or Emirates - they both know how to do Business Class -BA has either lost it's way or lost interest. It's been dumbed down to accommodate silver/gold card economy travellers. Fly Qatar or Emirates - even the Virgin Upper Class lounge is better than this.
